order_item_id,order_id,product_id,user_id,quantity,item_price,item_total
I00000001,O00000001,P001758,U009310,2,8.07,16.14
I00000002,O00000001,P001119,U009310,1,74.08,74.08
I00000003,O00000001,P001794,U009310,1,576.97,576.97
I00000004,O00000001,P001038,U009310,1,22.47,22.47
I00000005,O00000002,P000859,U003247,1,422.22,422.22
I00000006,O00000002,P000803,U003247,1,953.03,953.03
I00000007,O00000002,P000324,U003247,1,60.11,60.11
I00000008,O00000002,P000454,U003247,1,231.49,231.49
I00000009,O00000003,P001344,U007252,1,103.47,103.47
I00000010,O00000003,P000919,U007252,1,33.99,33.99
I00000011,O00000003,P001030,U007252,2,263.8,527.6
I00000012,O00000004,P000684,U008986,1,26.34,26.34
I00000013,O00000004,P001139,U008986,2,264.04,528.08
I00000014,O00000004,P001247,U008986,2,67.54,135.08
I00000015,O00000005,P000637,U008537,1,4.87,4.87
I00000016,O00000005,P001684,U008537,1,728.97,728.97
I00000017,O00000005,P001599,U008537,2,63.33,126.66
I00000018,O00000006,P000054,U003449,3,435.87,1307.61
I00000019,O00000006,P001002,U003449,3,209.1,627.3
I00000020,O00000006,P001857,U003449,1,92.99,92.99
I00000021,O00000006,P001940,U003449,2,115.22,230.44
I00000022,O00000007,P000004,U006985,1,541.41,541.41
I00000023,O00000007,P000792,U006985,1,228.3,228.3
I00000024,O00000008,P000497,U007661,1,15.21,15.21
I00000025,O00000009,P001301,U000610,2,114.51,229.02
I00000026,O00000010,P000913,U003175,1,32.13,32.13
I00000027,O00000010,P001655,U003175,1,75.5,75.5
I00000028,O00000011,P000162,U004470,1,151.39,151.39
I00000029,O00000011,P000006,U004470,1,18.61,18.61
I00000030,O00000011,P001724,U004470,1,846.61,846.61
I00000031,O00000012,P000083,U009480,3,126.24,378.72
I00000032,O00000012,P000022,U009480,2,37.65,75.3
I00000033,O00000012,P001184,U009480,2,64.63,129.26
I00000034,O00000012,P001636,U009480,1,16.95,16.95
I00000035,O00000013,P001563,U003631,1,15.87,15.87
I00000036,O00000014,P001712,U009493,2,260.48,520.96
I00000037,O00000015,P001687,U003336,1,10.39,10.39
I00000038,O00000015,P001005,U003336,2,405.41,810.82
I00000039,O00000015,P001891,U003336,2,56.77,113.54
I00000040,O00000015,P000234,U003336,1,375.37,375.37
I00000041,O00000015,P000329,U003336,1,106.81,106.81
I00000042,O00000016,P001897,U006392,1,127.42,127.42
I00000043,O00000017,P001808,U006684,3,49.88,149.64
I00000044,O00000017,P001370,U006684,2,38.92,77.84
I00000045,O00000018,P001510,U000792,1,93.58,93.58
I00000046,O00000018,P001471,U000792,2,161.15,322.3
I00000047,O00000018,P000916,U000792,1,81.74,81.74
I00000048,O00000018,P000406,U000792,1,103.54,103.54
I00000049,O00000019,P000614,U004785,1,135.38,135.38
I00000050,O00000020,P000282,U007957,1,154.03,154.03
I00000051,O00000020,P001099,U007957,1,33.06,33.06
I00000052,O00000020,P000247,U007957,1,10.2,10.2
I00000053,O00000020,P000514,U007957,1,201.55,201.55
I00000054,O00000021,P000164,U002529,1,60.85,60.85
I00000055,O00000021,P001540,U002529,1,148.66,148.66
I00000056,O00000022,P001206,U004486,1,531.53,531.53
I00000057,O00000022,P000004,U004486,1,541.41,541.41
I00000058,O00000023,P001492,U007432,1,119.02,119.02
I00000059,O00000024,P000058,U003345,1,788.21,788.21
I00000060,O00000024,P001098,U003345,1,15.26,15.26
I00000061,O00000025,P000952,U006241,1,70.34,70.34
I00000062,O00000025,P000494,U006241,2,148.44,296.88
I00000063,O00000025,P001686,U006241,1,134.71,134.71
I00000064,O00000025,P000654,U006241,1,20.06,20.06
I00000065,O00000026,P001694,U000638,1,34.17,34.17
I00000066,O00000026,P000797,U000638,2,9.98,19.96
I00000067,O00000027,P000251,U006102,1,64.82,64.82
I00000068,O00000027,P001990,U006102,1,431.12,431.12
I00000069,O00000028,P001671,U007489,1,8.06,8.06
I00000070,O00000028,P000921,U007489,2,47.82,95.64
I00000071,O00000028,P001940,U007489,2,115.22,230.44
I00000072,O00000029,P001874,U006599,1,605.36,605.36
I00000073,O00000029,P000938,U006599,3,83.52,250.56
I00000074,O00000029,P000047,U006599,1,94.71,94.71
I00000075,O00000030,P000395,U002144,1,56.04,56.04
I00000076,O00000030,P001002,U002144,1,209.1,209.1
I00000077,O00000031,P000853,U007162,2,121.17,242.34
I00000078,O00000031,P000303,U007162,3,1535.55,4606.65
I00000079,O00000031,P000339,U007162,1,93.07,93.07
I00000080,O00000032,P000704,U007933,1,194.49,194.49
I00000081,O00000033,P001756,U000286,2,967.83,1935.66
I00000082,O00000033,P001488,U000286,2,46.59,93.18
I00000083,O00000034,P000786,U001759,1,13.24,13.24
I00000084,O00000034,P001913,U001759,2,7.76,15.52
I00000085,O00000034,P000540,U001759,1,337.8,337.8
I00000086,O00000035,P001080,U007158,1,18.31,18.31
I00000087,O00000035,P000691,U007158,1,3.96,3.96
I00000088,O00000035,P001843,U007158,1,33.17,33.17
I00000089,O00000036,P000926,U009692,1,19.4,19.4
I00000090,O00000036,P000903,U009692,1,85.46,85.46
I00000091,O00000036,P000304,U009692,1,120.82,120.82
I00000092,O00000036,P001548,U009692,2,243.71,487.42
I00000093,O00000036,P001134,U009692,1,145.87,145.87
I00000094,O00000037,P000347,U002635,1,19.77,19.77
I00000095,O00000038,P001071,U004419,1,704.13,704.13
I00000096,O00000038,P001868,U004419,2,299.8,599.6
I00000097,O00000038,P001916,U004419,1,286.99,286.99
I00000098,O00000038,P000331,U004419,1,112.6,112.6
I00000099,O00000038,P000873,U004419,1,94.58,94.58
I00000100,O00000039,P000208,U005127,1,826.18,826.18
I00000101,O00000039,P001732,U005127,1,417.15,417.15
I00000102,O00000039,P000027,U005127,1,61.59,61.59
I00000103,O00000039,P001906,U005127,2,17.73,35.46
I00000104,O00000039,P001882,U005127,1,1463.26,1463.26
I00000105,O00000040,P001209,U002158,1,8.24,8.24
I00000106,O00000040,P000407,U002158,3,18.79,56.37
I00000107,O00000040,P001791,U002158,2,9.0,18.0
I00000108,O00000041,P000892,U000891,1,67.1,67.1
I00000109,O00000042,P001850,U007175,2,129.49,258.98
I00000110,O00000042,P000884,U007175,1,15.29,15.29
I00000111,O00000043,P001853,U005178,1,351.45,351.45
I00000112,O00000044,P001348,U008621,1,54.01,54.01
I00000113,O00000044,P000594,U008621,1,104.27,104.27
I00000114,O00000045,P000787,U003734,2,62.47,124.94
I00000115,O00000046,P001784,U007376,2,219.72,439.44
I00000116,O00000046,P001899,U007376,1,49.77,49.77
I00000117,O00000047,P001821,U004124,1,852.12,852.12
I00000118,O00000048,P001173,U005265,1,815.47,815.47
I00000119,O00000048,P000991,U005265,1,19.08,19.08
I00000120,O00000049,P001203,U000067,1,97.36,97.36
I00000121,O00000049,P000314,U000067,1,79.29,79.29
I00000122,O00000049,P001157,U000067,2,20.26,40.52
I00000123,O00000050,P000412,U008607,1,225.99,225.99
I00000124,O00000051,P000560,U001487,2,16.86,33.72
I00000125,O00000051,P000587,U001487,1,15.87,15.87
I00000126,O00000052,P001556,U006522,1,86.48,86.48
I00000127,O00000052,P001139,U006522,1,264.04,264.04
I00000128,O00000052,P001486,U006522,2,151.5,303.0
I00000129,O00000052,P000648,U006522,2,6.52,13.04
I00000130,O00000052,P000253,U006522,1,46.4,46.4
I00000131,O00000052,P000164,U006522,2,60.85,121.7
I00000132,O00000053,P000079,U001555,3,71.29,213.87
I00000133,O00000053,P001503,U001555,3,126.6,379.8
I00000134,O00000054,P000476,U003166,1,133.02,133.02
I00000135,O00000055,P000041,U005524,2,94.35,188.7
I00000136,O00000056,P001348,U003377,3,54.01,162.03
I00000137,O00000056,P000851,U003377,1,67.08,67.08
I00000138,O00000057,P000607,U003939,2,9.32,18.64
I00000139,O00000058,P000713,U002279,1,31.39,31.39
I00000140,O00000059,P000751,U004843,1,2.72,2.72
I00000141,O00000059,P000310,U004843,1,67.11,67.11
I00000142,O00000059,P000260,U004843,1,24.11,24.11
I00000143,O00000060,P000456,U004239,1,24.35,24.35
I00000144,O00000061,P000732,U003431,1,52.87,52.87
I00000145,O00000061,P000695,U003431,1,35.1,35.1
I00000146,O00000061,P001706,U003431,1,970.1,970.1
I00000147,O00000062,P000251,U009887,2,64.82,129.64
I00000148,O00000062,P000908,U009887,3,462.76,1388.28
I00000149,O00000062,P001119,U009887,1,74.08,74.08
I00000150,O00000063,P001947,U001271,3,78.16,234.48
I00000151,O00000063,P001855,U001271,1,503.43,503.43
I00000152,O00000063,P001976,U001271,1,133.71,133.71
I00000153,O00000063,P001823,U001271,1,215.56,215.56
I00000154,O00000064,P001069,U006235,1,250.79,250.79
I00000155,O00000064,P000087,U006235,3,339.43,1018.29
I00000156,O00000065,P000115,U009764,2,28.99,57.98
I00000157,O00000065,P000382,U009764,2,466.25,932.5
I00000158,O00000065,P001981,U009764,2,9.92,19.84
I00000159,O00000065,P001565,U009764,1,50.01,50.01
I00000160,O00000065,P001639,U009764,1,253.6,253.6
I00000161,O00000066,P001606,U003806,1,1097.96,1097.96
